=== [1/2] cleaned_10: 10 authors, K=4, sample 4 authors + M docs ===

Loading cleaned_10 corpus …
  400 docs × 1500w  (10 authors)
Building stylometric feature matrix …
  feature cache hit -> src\kmeans\cache\cleaned_10\2b210234ff591af9.npz
  X shape: (400, 107)

ARI sweep: K=4, M in [5, 10, 15, 20], 50 trials per M
  group pool = C(10,4) = 210
    M= 5: 5 docs/author, total=20 docs/trial
    M=10: 10 docs/author, total=40 docs/trial
    M=15: 15 docs/author, total=60 docs/trial
    M=20: 20 docs/author, total=80 docs/trial
  KMeans: init='k-means++', n_init=10
  M=20  trial   5/50  ARI=+0.575  n_docs= 80  authors=['abramdemski', 'johnswentworth', 'neel-nanda-1', 'ruby']
  M=20  trial   6/50  ARI=+0.185  n_docs= 80  authors=['abramdemski', 'jessica-liu-taylor', 'kaj_sotala', 'neel-nanda-1']
  M=20  trial   7/50  ARI=+0.527  n_docs= 80  authors=['kaj_sotala', 'neel-nanda-1', 'raemon', 'ricraz']
  M=20  trial   8/50  ARI=+0.748  n_docs= 80  authors=['abramdemski', 'johnswentworth', 'ricraz', 'ruby']
  M=20  trial   9/50  ARI=+0.310  n_docs= 80  authors=['abramdemski', 'jessica-liu-taylor', 'kaj_sotala', 'raemon']
  M=20  trial  10/50  ARI=+0.559  n_docs= 80  authors=['abramdemski', 'jessica-liu-taylor', 'ruby', 'zvi']
  M=20  trial  11/50  ARI=+0.652  n_docs= 80  authors=['abramdemski', 'neel-nanda-1', 'raemon', 'steve2152']
  M=20  trial  12/50  ARI=+0.487  n_docs= 80  authors=['abramdemski', 'kaj_sotala', 'neel-nanda-1', 'raemon']
  M=20  trial  13/50  ARI=+0.296  n_docs= 80  authors=['abramdemski', 'jessica-liu-taylor', 'neel-nanda-1', 'ruby']
  M=20  trial  14/50  ARI=+0.639  n_docs= 80  authors=['abramdemski', 'kaj_sotala', 'neel-nanda-1', 'ricraz']
  M=20  trial  15/50  ARI=+0.840  n_docs= 80  authors=['abramdemski', 'kaj_sotala', 'raemon', 'ricraz']
  M=20  trial  16/50  ARI=+0.561  n_docs= 80  authors=['jessica-liu-taylor', 'johnswentworth', 'ricraz', 'steve2152']
  M=20  trial  17/50  ARI=+0.536  n_docs= 80  authors=['jessica-liu-taylor', 'kaj_sotala', 'raemon', 'steve2152']
  M=20  trial  18/50  ARI=+0.527  n_docs= 80  authors=['jessica-liu-taylor', 'johnswentworth', 'kaj_sotala', 'steve2152']
  M=20  trial  19/50  ARI=+0.550  n_docs= 80  authors=['abramdemski', 'ricraz', 'ruby', 'zvi']
  M=20  trial  20/50  ARI=+0.664  n_docs= 80  authors=['abramdemski', 'jessica-liu-taylor', 'steve2152', 'zvi']
  M=20  trial  21/50  ARI=+0.357  n_docs= 80  authors=['abramdemski', 'johnswentworth', 'kaj_sotala', 'ricraz']
  M=20  trial  22/50  ARI=+0.795  n_docs= 80  authors=['johnswentworth', 'kaj_sotala', 'steve2152', 'zvi']
  M=20  trial  23/50  ARI=+0.821  n_docs= 80  authors=['kaj_sotala', 'neel-nanda-1', 'steve2152', 'zvi']
  M=20  trial  24/50  ARI=+0.269  n_docs= 80  authors=['jessica-liu-taylor', 'neel-nanda-1', 'ricraz', 'ruby']
  M=20  trial  25/50  ARI=+0.498  n_docs= 80  authors=['abramdemski', 'kaj_sotala', 'raemon', 'ruby']
  M=20  trial  26/50  ARI=+0.692  n_docs= 80  authors=['abramdemski', 'jessica-liu-taylor', 'raemon', 'zvi']
  M=20  trial  27/50  ARI=+0.531  n_docs= 80  authors=['abramdemski', 'neel-nanda-1', 'ruby', 'zvi']
  M=20  trial  28/50  ARI=+0.748  n_docs= 80  authors=['kaj_sotala', 'neel-nanda-1', 'ricraz', 'steve2152']
  M=20  trial  29/50  ARI=+0.966  n_docs= 80  authors=['abramdemski', 'kaj_sotala', 'steve2152', 'zvi']
  M=20  trial  30/50  ARI=+0.626  n_docs= 80  authors=['abramdemski', 'johnswentworth', 'ricraz', 'steve2152']
  M=20  trial  31/50  ARI=+0.399  n_docs= 80  authors=['johnswentworth', 'kaj_sotala', 'ruby', 'zvi']
  M=20  trial  32/50  ARI=+0.533  n_docs= 80  authors=['abramdemski', 'johnswentworth', 'ruby', 'zvi']
  M=20  trial  33/50  ARI=+0.474  n_docs= 80  authors=['johnswentworth', 'neel-nanda-1', 'raemon', 'ruby']
  M=20  trial  34/50  ARI=+0.355  n_docs= 80  authors=['jessica-liu-taylor', 'johnswentworth', 'kaj_sotala', 'ruby']
