============================================================
Experiment 1 — cleaned_10  (10 authors × 40 articles, ≥1500w)
============================================================
  400 docs, 10 authors
    abramdemski: 40 docs
    jessica-liu-taylor: 40 docs
    johnswentworth: 40 docs
    kaj_sotala: 40 docs
    neel-nanda-1: 40 docs
    raemon: 40 docs
    ricraz: 40 docs
    ruby: 40 docs
    steve2152: 40 docs
    zvi: 40 docs

Sweeping N in [100, 200, 500, 1000, 1500]  (K=5, M=15, 50 trials/N, n_init=10)
  Sampling K=5 authors from 10 per trial

  feature cache hit -> src\kmeans\cache\cleaned_10\29e27bc51a523bd0.npz
  N=  500  trial 48/50  ARI=+0.064  authors=['ricraz', 'kaj_sotala', 'neel-nanda-1', 'johnswentworth', 'abramdemski']
  N=  500  trial 49/50  ARI=+0.491  authors=['raemon', 'steve2152', 'neel-nanda-1', 'abramdemski', 'zvi']
  N=  500  trial 50/50  ARI=+0.341  authors=['ricraz', 'ruby', 'johnswentworth', 'zvi', 'kaj_sotala']
  feature cache hit -> src\kmeans\cache\cleaned_10\49f374bfd45e5e40.npz
  N= 1000  trial  1/50  ARI=+0.470  authors=['jessica-liu-taylor', 'zvi', 'kaj_sotala', 'ricraz', 'steve2152']
  N= 1000  trial  2/50  ARI=+0.412  authors=['neel-nanda-1', 'ricraz', 'steve2152', 'johnswentworth', 'abramdemski']
  N= 1000  trial  3/50  ARI=+0.431  authors=['abramdemski', 'johnswentworth', 'steve2152', 'ricraz', 'kaj_sotala']
  N= 1000  trial  4/50  ARI=+0.233  authors=['johnswentworth', 'neel-nanda-1', 'raemon', 'kaj_sotala', 'jessica-liu-taylor']
  N= 1000  trial  5/50  ARI=+0.239  authors=['ruby', 'jessica-liu-taylor', 'johnswentworth', 'zvi', 'kaj_sotala']
  N= 1000  trial  6/50  ARI=+0.541  authors=['ruby', 'zvi', 'kaj_sotala', 'ricraz', 'steve2152']
  N= 1000  trial  7/50  ARI=+0.314  authors=['ruby', 'abramdemski', 'kaj_sotala', 'raemon', 'johnswentworth']
  N= 1000  trial  8/50  ARI=+0.137  authors=['johnswentworth', 'ricraz', 'ruby', 'abramdemski', 'jessica-liu-taylor']
  N= 1000  trial  9/50  ARI=+0.482  authors=['ruby', 'ricraz', 'steve2152', 'raemon', 'abramdemski']
  N= 1000  trial 10/50  ARI=+0.403  authors=['kaj_sotala', 'ruby', 'raemon', 'zvi', 'ricraz']
  N= 1000  trial 11/50  ARI=+0.311  authors=['zvi', 'raemon', 'kaj_sotala', 'jessica-liu-taylor', 'ruby']
  N= 1000  trial 12/50  ARI=+0.303  authors=['jessica-liu-taylor', 'ricraz', 'ruby', 'raemon', 'neel-nanda-1']
  N= 1000  trial 13/50  ARI=+0.580  authors=['jessica-liu-taylor', 'johnswentworth', 'zvi', 'steve2152', 'ricraz']
  N= 1000  trial 14/50  ARI=+0.485  authors=['zvi', 'ricraz', 'kaj_sotala', 'abramdemski', 'steve2152']
  N= 1000  trial 15/50  ARI=+0.408  authors=['zvi', 'johnswentworth', 'ruby', 'neel-nanda-1', 'ricraz']
  N= 1000  trial 16/50  ARI=+0.312  authors=['jessica-liu-taylor', 'johnswentworth', 'raemon', 'abramdemski', 'steve2152']
  N= 1000  trial 17/50  ARI=+0.548  authors=['zvi', 'kaj_sotala', 'raemon', 'jessica-liu-taylor', 'steve2152']
  N= 1000  trial 18/50  ARI=+0.518  authors=['steve2152', 'johnswentworth', 'abramdemski', 'ricraz', 'ruby']
  N= 1000  trial 19/50  ARI=+0.209  authors=['johnswentworth', 'raemon', 'jessica-liu-taylor', 'ruby', 'neel-nanda-1']
  N= 1000  trial 20/50  ARI=+0.610  authors=['steve2152', 'zvi', 'raemon', 'kaj_sotala', 'neel-nanda-1']
  N= 1000  trial 21/50  ARI=+0.563  authors=['neel-nanda-1', 'ricraz', 'steve2152', 'abramdemski', 'ruby']
  N= 1000  trial 22/50  ARI=+0.348  authors=['ruby', 'abramdemski', 'raemon', 'steve2152', 'zvi']
  N= 1000  trial 23/50  ARI=+0.613  authors=['johnswentworth', 'neel-nanda-1', 'ruby', 'abramdemski', 'zvi']
  N= 1000  trial 24/50  ARI=+0.219  authors=['raemon', 'kaj_sotala', 'ricraz', 'neel-nanda-1', 'jessica-liu-taylor']
  N= 1000  trial 25/50  ARI=+0.399  authors=['abramdemski', 'neel-nanda-1', 'ricraz', 'jessica-liu-taylor', 'steve2152']
  N= 1000  trial 26/50  ARI=+0.385  authors=['johnswentworth', 'ricraz', 'abramdemski', 'ruby', 'kaj_sotala']
  N= 1000  trial 27/50  ARI=+0.576  authors=['ruby', 'johnswentworth', 'zvi', 'abramdemski', 'kaj_sotala']
  N= 1000  trial 28/50  ARI=+0.324  authors=['raemon', 'steve2152', 'ruby', 'johnswentworth', 'jessica-liu-taylor']
  N= 1000  trial 29/50  ARI=+0.604  authors=['neel-nanda-1', 'ricraz', 'zvi', 'kaj_sotala', 'steve2152']
  N= 1000  trial 30/50  ARI=+0.281  authors=['ruby', 'zvi', 'kaj_sotala', 'jessica-liu-taylor', 'raemon']
  N= 1000  trial 31/50  ARI=+0.453  authors=['jessica-liu-taylor', 'ruby', 'raemon', 'ricraz', 'steve2152']
